,Goldilocks,Overheating,Stagflation,Recession,All
US Aggregate,0.058,0.049,0.409,0.068,0.172
Long Treasury,-0.172,0.109,0.184,-0.083,-0.002
Long IG credit,0.057,0.26,0.428,0.183,0.266
