,Goldilocks,Overheating,Stagflation,Recession,All
Long credit − Long Treasury,-0.0297,0.0026,-0.0111,0.0308,0.0067
Int credit − Int Treasury,-0.0023,-0.0249,-0.0214,0.024,0.0067
High yield − IG credit,-0.0157,0.0083,-0.0294,0.0316,0.0034
Global ex-US − US Agg,-0.0097,-0.0882,-0.0344,0.0239,-0.0047
Long − Short Treasury (duration),0.0785,-0.0399,0.0398,-0.0071,0.0203
TIPS − nominal Treasury,-0.0071,0.0422,-0.0285,0.025,0.009
