,Dot-com 2000-02,GFC 2007-09,Euro 2011,COVID 2020,Inflation 2022
US Aggregate (VBMFX),-2.2,-4.0,-0.8,-0.5,-16.0
Treasury Ladder (govt only),-4.7,-4.4,-2.5,0.0,-17.2
Credit Tilt,-2.1,-13.5,-1.5,-3.8,-20.0
Regime Credit De-risk,-3.1,-5.9,-1.3,-0.0,-14.7
