,1990 recession,1994 bond crash,Dot-com 2000-02,GFC 2007-09,Euro 2011,COVID 2020,Inflation 2022
60/40,-8.4,-6.2,-23.2,-32.5,-8.2,-11.6,-20.2
ERC (Risk Parity),-8.2,-5.5,-1.3,-16.1,-1.9,-4.3,-15.8
Regime Risk Overlay,-5.1,-5.8,-2.5,-11.8,-1.9,-2.1,-15.8
Regime Max-Sharpe,-7.2,-6.4,-5.0,-16.1,-2.4,-4.2,-10.5
