date,growth_signal,infl_signal,regime
1990-01-31,,,
1990-02-28,,,
1990-03-31,,,
1990-04-30,,,
1990-05-31,,,
1990-06-30,,,
1990-07-31,,,
1990-08-31,,,
1990-09-30,,,
1990-10-31,,,
1990-11-30,,,
1990-12-31,,,
1991-01-31,,,
1991-02-28,-0.961460577686335,5.647058823529405,
1991-03-31,-1.769709508488182,5.4797794117647065,
1991-04-30,-2.386038297829115,5.260236559631637,
1991-05-31,-3.1024014986886264,4.981193677932794,
1991-06-30,-3.074741388279978,4.888645911343585,
1991-07-31,-2.5475549781697118,4.846902272359806,
1991-08-31,-2.040980412647412,4.699530910200189,
1991-09-30,-1.8541441101341334,4.287709375877539,
1991-10-31,-1.5631172146840437,3.854478201437598,
1991-11-30,-1.2453544029708368,3.3480647415008966,
1991-12-31,-0.4395526026932606,3.1037896893835923,
1992-01-31,0.19302382491198275,2.965256194834017,
1992-02-29,0.5833382759681779,2.906599554334677,
1992-03-31,1.0879408014512038,2.824074273338114,
1992-04-30,1.9972814535644738,2.8938359559324005,
1992-05-31,3.1436925248035616,3.06390987077015,
1992-06-30,3.5920918947290885,3.1321124448155415,
1992-07-31,3.2927790819865748,3.073710745857028,
1992-08-31,3.041563653332369,3.0651421940002628,
1992-09-30,2.8085729731564277,3.082166110984012,
1992-10-31,2.677661877360086,3.0748310601753723,
1992-11-30,2.577024046645393,3.11575156095382,
1992-12-31,2.8530645707586753,3.131016184356783,
1993-01-31,3.513486352077259,3.1223542430255975,
1993-02-28,4.242026195383468,3.1136584808657624,
1993-03-31,4.707838524851446,3.155754749377134,
1993-04-30,4.620802720232272,3.173319946081321,
1993-05-31,4.05037586841126,3.140849415940261,
1993-06-30,3.3149570012525125,3.1323277538752934,
1993-07-31,2.9649480971508435,3.125143812652253,
1993-08-31,2.5603869430549375,3.022007340634403,
1993-09-30,2.5491024390254116,2.8952476174179806,
1993-10-31,2.54662192443064,2.817293781669387,
1993-11-30,2.7849888737258244,2.785733278007285,
1993-12-31,2.8996830899135886,2.753612279137522,
1994-01-31,3.0910229934789424,2.7692674756749853,Goldilocks
1994-02-28,3.2296201632458463,2.668829747066718,Goldilocks
1994-03-31,3.1965904535149026,2.5925554724468705,Goldilocks
1994-04-30,3.398593479530909,2.5394943820659766,Goldilocks
1994-05-31,3.7432527512460063,2.510632582362319,Goldilocks
1994-06-30,4.5257447715771,2.434887562488338,Goldilocks
1994-07-31,5.085461192245466,2.382561899555561,Goldilocks
1994-08-31,5.487548226807505,2.4940842144456874,Goldilocks
1994-09-30,5.875506252834195,2.698105639568863,Goldilocks
1994-10-31,6.02993607089221,2.855010555094472,Goldilocks
1994-11-30,6.257481485232115,2.825319945819094,Goldilocks
1994-12-31,6.286286467753237,2.7260490257656165,Goldilocks
1995-01-31,6.542837920732521,2.603344144440034,Goldilocks
1995-02-28,6.732493769672103,2.6903185735197197,Goldilocks
1995-03-31,6.78138322631352,2.77706722653445,Goldilocks
1995-04-30,6.378283137812886,2.840339553572931,Goldilocks
1995-05-31,5.749336986354018,2.9250684211965456,Goldilocks
1995-06-30,5.192052688158817,3.010287882104882,Goldilocks
1995-07-31,4.815785127562532,3.095413472227001,Overheating
1995-08-31,4.515261813481261,2.997143031975417,Goldilocks
1995-09-30,4.429607390592164,2.8300782308530614,Goldilocks
1995-10-31,4.4942569474681,2.6642831094231934,Goldilocks
1995-11-30,4.411148929789532,2.635657074886725,Goldilocks
1995-12-31,3.958089260442936,2.6309976184302344,Goldilocks
1996-01-31,3.244092252863632,2.6264758134387334,Goldilocks
1996-02-29,2.616120480647218,2.6419381796996433,Recession
1996-03-31,2.668363360263726,2.6797914634978235,Recession
1996-04-30,2.8512716759773333,2.783881388262851,Recession
1996-05-31,3.690128282344799,2.797873687391654,Goldilocks
1996-06-30,4.081799201549259,2.8345591193974733,Goldilocks
1996-07-31,4.722653924332347,2.827094774662779,Goldilocks
1996-08-31,5.1137021484759515,2.8439883097054994,Goldilocks
1996-09-30,5.133386795899475,2.8390577015651473,Goldilocks
1996-10-31,5.080661041973822,2.900074323344389,Overheating
1996-11-30,4.947389894713705,2.959585681304773,Overheating
1996-12-31,5.325807603398899,3.10651728725914,Overheating
1997-01-31,5.730088095338267,3.231265700211187,Overheating
1997-02-28,6.322530306089942,3.223348727358411,Overheating
1997-03-31,6.591166618896094,3.149737936892416,Overheating
1997-04-30,7.026043069662836,2.9452232362230752,Overheating
1997-05-31,6.8894173171268145,2.7439561132993986,Goldilocks
1997-06-30,6.779377737441972,2.4791539792620534,Goldilocks
1997-07-31,6.2933968425692655,2.3019186506632927,Goldilocks
1997-08-31,6.4151640489513495,2.212341361348772,Goldilocks
1997-09-30,6.778325797370196,2.229749585840035,Goldilocks
1997-10-31,7.351139650066291,2.225028454311606,Goldilocks
1997-11-30,7.935260477323122,2.1984824658694446,Goldilocks
1997-12-31,8.299077145157717,2.065243409990806,Goldilocks
1998-01-31,8.482472692122457,1.8911240605164286,Goldilocks
1998-02-28,8.4590187795239,1.7395072463042578,Goldilocks
1998-03-31,8.113525159280691,1.58945431545842,Goldilocks
1998-04-30,7.631853309653746,1.4826793214697487,Goldilocks
1998-05-31,7.129697925065526,1.4184400920684774,Goldilocks
1998-06-30,7.033983484369025,1.5012250825309732,Goldilocks
1998-07-31,6.774861081057856,1.5833085441197214,Goldilocks
1998-08-31,6.001148814136877,1.6857208477363346,Goldilocks
1998-09-30,5.559987254988704,1.6618408730008822,Goldilocks
1998-10-31,5.1567410030876575,1.5964501135180627,Goldilocks
1998-11-30,5.117382002523052,1.5099275139282886,Goldilocks
1998-12-31,4.409372292354163,1.4656990581859726,Recession
1999-01-31,4.049617889500616,1.525740097731772,Recession
1999-02-28,3.7580476967999714,1.5859396161356232,Recession
1999-03-31,3.919351958902569,1.6467518198049664,Recession
1999-04-30,4.137869357671938,1.6872427983539051,Recession
1999-05-31,4.319259623596102,1.892065376789313,Recession
1999-06-30,4.337260513750703,2.033516791303458,Goldilocks
1999-07-31,4.471024922840705,2.112585759261313,Goldilocks
1999-08-31,4.981932859818731,2.0670769063161045,Goldilocks
1999-09-30,4.925313890622333,2.1248638978947096,Goldilocks
1999-10-31,4.564659774847946,2.3463197156808078,Goldilocks
1999-11-30,4.051168413156728,2.485629812304365,Recession
1999-12-31,4.309520739397091,2.6042869983302483,Recession
2000-01-31,4.800341021383129,2.6197635342648296,Goldilocks
2000-02-29,4.907491261776986,2.6965697870347043,Goldilocks
2000-03-31,4.717069306186095,2.8957759961708796,Overheating
2000-04-30,4.460527965801245,3.257688294692914,Overheating
2000-05-31,4.529551897899002,3.3313239220395423,Overheating
2000-06-30,4.5755963590586575,3.3028432720564846,Overheating
2000-07-31,4.617927221221903,3.29377788429183,Overheating
2000-08-31,4.26520113616462,3.4889166744964157,Stagflation
2000-09-30,3.805852346311182,3.5618355192350344,Stagflation
2000-10-31,3.6040260464261045,3.4690208756786856,Stagflation
2000-11-30,3.118816011371694,3.4193698897545164,Stagflation
2000-12-31,2.710717738252096,3.450334512377033,Stagflation
2001-01-31,1.6343727262967696,3.4435088887033207,Stagflation
2001-02-28,0.9955162522524782,3.5338014805059568,Stagflation
2001-03-31,0.19019166485709413,3.5622118945528136,Stagflation
2001-04-30,-0.4304975160002722,3.4110242888877838,Stagflation
2001-05-31,-1.2497867445245132,3.2433747317616537,Stagflation
2001-06-30,-1.9912318008819987,3.254598847576203,Stagflation
