,growth,rates,credit,inflation,commodity,currency,volatility,liquidity
SPY,0.997,-0.003,-0.002,0.003,-0.003,-0.007,-0.0,0.0
EEM,0.543,0.081,0.384,0.125,-0.021,-1.153,0.0,-0.014
IEF,0.01,0.355,-0.114,-0.071,0.032,-0.182,-0.0,-0.003
TLT,-0.003,0.997,-0.002,0.003,-0.003,-0.007,-0.0,0.0
LQD,-0.003,0.452,0.375,-0.098,0.018,-0.284,-0.0,-0.013
HYG,0.01,0.355,0.886,-0.071,0.032,-0.182,-0.0,-0.003
DBC,-0.003,-0.003,-0.002,0.003,0.997,-0.007,-0.0,0.0
GLD,0.023,0.714,-0.225,1.854,-0.932,-0.357,-0.0,-0.006
VNQ,0.709,0.703,0.957,0.114,-0.048,0.184,-0.0,0.04
