,cpi_yoy,indpro_yoy,unemployment_chg_12m,slope_10y_3m,vix
S0,6.64,3.21,-2.38,0.59,22.04
S1,2.37,1.34,-0.28,2.41,16.35
S2,1.49,-2.94,2.0,2.42,30.0
S3,2.67,2.95,-0.23,0.41,17.77
