,60/40,Equal-Weight
growth,0.95,0.314
rates,0.032,0.154
credit,-0.034,0.172
inflation,-0.012,0.163
commodity,0.009,0.009
currency,0.035,0.128
volatility,0.006,0.007
liquidity,0.001,-0.001
idiosyncratic,0.012,0.054
