,GFC 2007-09,Euro Debt 2011,China/Oil 2015-16,COVID 2020,Inflation Shock 2022
60/40,-29.5,-5.8,-4.5,-9.4,-20.5
ERC (Risk Parity),-20.5,-2.3,-4.5,-5.7,-15.1
Regime Risk Overlay,-11.3,-2.3,-3.4,-1.5,-15.1
Regime Max-Sharpe,-15.3,-4.5,-2.5,-3.7,-14.4
