derisk_factor,sharpe,ann_return,max_drawdown,avg_turnover
0.0,0.441,0.0423,-0.174,0.0453
0.25,0.4838,0.0443,-0.1525,0.0382
0.5,0.5062,0.0461,-0.1503,0.031
0.75,0.5074,0.0477,-0.1503,0.0238
1.0,0.4922,0.0492,-0.1958,0.0182
