,local_vol,fx_vol,unhedged_vol,corr_local_fx
EWA,0.1361,0.1164,0.2147,0.4428
EWU,0.1364,0.0832,0.1636,0.0538
IEV,0.1473,0.0925,0.1811,0.0934
EWJ,0.1786,0.1028,0.176,-0.3131
