,GFC 2007-09,Euro Debt 2011,China/Oil 2015-16,COVID 2020,Inflation Shock 2022
SPY,-50.8,2.4,-6.9,-23.0,-17.7
EEM,-60.4,-19.2,-24.5,-22.3,-29.4
IEF,17.1,17.5,4.9,7.2,-16.9
TLT,20.0,38.8,8.8,13.5,-34.1
LQD,-4.4,11.9,-0.2,-5.6,-21.8
HYG,-27.2,7.0,-8.1,-12.2,-12.4
DBC,-34.8,-19.3,-28.0,-23.8,20.9
GLD,17.8,1.9,4.0,-1.9,-11.1
RWO,-63.1,2.1,-3.9,-32.2,-27.4
